CPU Socket,Chipset,CrossFire Support,Form Factor,Manufacturer,Maximum Supported Memory,Memory Type,Name,Onboard Ethernet,Onboard USB 3.0 Header(s),Onboard Video,Prices,RAID Support,SLI Support
LGA1151,Intel Z270,Yes,ATX,Gigabyte,64GB,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400 / 3466 / 3600 / 3666 / 3733 / 3800 / 3866,Gigabyte GA-Z270-HD3 ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,[114.99],Yes,No
LGA1150,Intel C226,Yes,ATX,Supermicro,32GB,DDR3-1066 / 1333 / 1600,Supermicro X10SAT-O ATX LGA1150 Motherboard,2 x 10/100/1000 Mbps,Yes,Depends on CPU,"[254.99, 276.35]",Yes,Yes
LGA1155,Intel Q67,No,Mini ITX,Intel,16GB,DDR3-1066 / 1333,Intel DQ67EPB3 Mini ITX LGA1155 Motherboard,1 x 10/100/1000 Mbps,No,Depends on CPU,[109.0],Yes,No
LGA1150,Intel H81,No,Micro ATX,Gigabyte,16GB,DDR3-1333 / 1600,Gigabyte GA-H81M-D3V Micro ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[58.88, 69.82, 69.99]",No,No
LGA1155,Intel C204,No,Micro ATX,Supermicro,32GB,DDR3-1333 / 1600,Supermicro X9SCM-iiF Micro ATX LGA1155 Motherboard,2 x 10/100/1000 Mbps,No,Yes,"[188.99, 201.14]",No,No
FM1,AMD A55,No,Micro ATX,ASRock,16GB,DDR3-800 / 1066 / 1333 / 1600 / 1866 / 2400,ASRock A55M-VS Micro ATX FM1 Motherboard,1 x 10/100/1000 Mbps,No,Depends on CPU,[59.46],Yes,No
FM2+,AMD A58,No,Micro ATX,ECS,32GB,DDR3-1066 / 1333 / 1600 / 1800 / 1866,ECS A58F2P-M4(1.0) Micro ATX FM2+ Motherboard,1 x 10/100/1000 Mbps,No,Depends on CPU,[49.63],Yes,No
FM2,AMD A75,No,Mini ITX,MSI,32GB,DDR3-1066 / 1333 / 1600 / 1866 / 2133,MSI FM2-A75IA-E53 Mini ITX FM2 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,[89.99],Yes,No
LGA1150,Intel C224,No,Micro ATX,Supermicro,32GB,DDR3-1066 / 1333 / 1600,Supermicro X10SLM-F-O Micro ATX LGA1150 Motherboard,2 x 10/100/1000 Mbps,Yes,Yes,[175.99],No,No
LGA1150,Intel H81,No,Micro ATX,Gigabyte,16GB,DDR3-1333 / 1600,Gigabyte GA-H81M-S2PV Micro ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,No,Depends on CPU,"[56.99, 76.7]",No,No
LGA1150,Intel C222,No,ATX,Asus,32GB,DDR3-1333 / 1600,Asus P9D-X ATX LGA1150 Motherboard,2 x 10/100/1000 Mbps,No,Yes,[168.99],Yes,No
LGA1150,Intel H87,No,Micro ATX,Intel,32GB,DDR3-1333 / 1600,Intel DH87RL Micro ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,[115.0],Yes,No
LGA1150,Intel B85,No,Micro ATX,MSI,16GB,DDR3-1066 / 1333 / 1600,MSI CSM-B85M-P32 Micro ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[67.99, 83.43, 80.0]",No,No
LGA1150,Intel C224,No,ATX,ASRock,32GB,DDR3-1333 / 1600,ASRock E3C224-4L ATX LGA1150 Motherboard,4 x 10/100/1000 Mbps,No,Yes,"[188.99, 188.99, 195.99]",Yes,No
FM1,AMD A55,No,Micro ATX,ECS,32GB,DDR3-1333 / 1600 / 1866,ECS A55F-M2(1.0A) Micro ATX FM1 Motherboard,1 x 10/100/1000 Mbps,No,Depends on CPU,[141.59],Yes,No
LGA1150,Intel Z97,Yes,ATX,ASRock,32GB,DDR3-1066 / 1333 / 1600 / 1866 / 2133 / 2400 / 2800 / 2933 / 3200,ASRock Z97 Killer/3.1 ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[157.99, 199.0]",Yes,No
FM2+,AMD A88X,Yes,Micro ATX,Gigabyte,64GB,DDR3-1333 / 1600 / 1866 / 2133,Gigabyte GA-F2A88XM-HD3 Micro ATX FM2+ Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,[99.98],Yes,No
FM2,AMD A75,No,Micro ATX,ECS,32GB,DDR3-1333 / 1600 / 1866,ECS A75F2-M2(1.0A) Micro ATX FM2 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,[74.99],Yes,No
LGA2011-3,Intel X99,Yes,EATX,ASRock,128GB,DDR4-1866 / 2133 / 2400 / 2800,ASRock X99 OC Formula EATX LGA2011-3 Motherboard,1 x 10/100/1000 Mbps,Yes,No,[309.99],Yes,4-way SLI
LGA1150,Intel H81,No,Micro ATX,Foxconn,16GB,DDR3-1600,Foxconn H81MXV Micro ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,No,Depends on CPU,[69.99],No,No
LGA1150,Intel Z87,Yes,ATX,ECS,32GB,DDR3-1066 / 1333 / 1600 / 2000 / 2133 / 2333 / 2400 / 2800 / 3000,ECS Z87H3-A2X GOLDEN ATX LGA1150 Motherboard,2 x 10/100/1000 Mbps,Yes,Depends on CPU,[259.99],Yes,Yes
LGA1150,Intel C222,No,Mini ITX,Asus,16GB,DDR3-1333 / 1600,Asus P9D-I Mini ITX LGA1150 Motherboard,2 x 10/100/1000 Mbps,No,Yes,"[159.98, 199.99, 222.0]",Yes,No
AM3+,AMD 990FX,Yes,ATX,Asus,32GB,DDR3-1066 / 1333 / 1600 / 1866,Asus Sabertooth 990FX R2.0 ATX AM3+ Motherboard,1 x 10/100/1000 Mbps,Yes,No,"[176.99, 179.99, 179.99]",Yes,3-way SLI
LGA1151,Intel H110,No,Micro ATX,ASRock,32GB,DDR3-1066 / 1333 / 1600,ASRock H110M-DVS/D3 Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,[54.0],No,No
LGA1151,Intel H110,No,Micro ATX,MSI,32GB,DDR4-2133,MSI H110M ECO Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[58.99, 59.99, 58.99, 58.99, 73.47]",No,No
LGA1151,Intel H110,No,Micro ATX,Asus,32GB,DDR4-2133,Asus H110M-E/M.2 Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[55.99, 61.72, 59.99, 58.0]",No,No
LGA1151,Intel Z270,Yes,Micro ATX,ASRock,64GB,DDR4-2133 / 2400 / 2800 / 2933 / 3200 / 3600,ASRock Z270M Pro4 Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,[119.99],Yes,No
LGA1151,Intel Z270,Yes,ATX,MSI,64GB,DDR4-2133 / 2400 / 2800 / 3000 / 3200 / 3600 / 3800 / 4000,MSI Z270 XPOWER GAMING TITANIUM ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[329.99, 329.99, 329.99]",Yes,Yes
AM3+,AMD A78,No,Micro ATX,Asus,32GB,DDR3-1066 / 1333 / 1600 / 1800 / 1866 / 2000,Asus M5A78L-M PLUS/USB3 Micro ATX AM3+ Motherboard,1 x 10/100/1000 Mbps,Yes,No,"[55.99, 57.0, 56.99, 56.99]",No,No
AM3+/AM3,AMD 970,Yes,ATX,ASRock,64GB,DDR3-1066 / 1333 / 1600 / 1800 / 1866 / 2100 / 2400,ASRock 970A-G/3.1 ATX AM3+/AM3 Motherboard,1 x 10/100/1000 Mbps,Yes,No,"[73.89, 73.99, 78.99, 78.99, 104.84]",Yes,No
LGA1151,Intel Z270,Yes,ATX,MSI,64GB,DDR4-2133 / 2400 / 2800 / 3000 / 3200 / 3600 / 3800,MSI Z270 GAMING M3 ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[159.99, 159.99, 159.99, 171.99, 172.08]",Yes,No
LGA1151,Intel Z170,Yes,ATX,MSI,64GB,DDR4-2133 / 2400 / 2800 / 3000 / 3200 / 3600,MSI Z170A SLI ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[137.49, 127.94, 129.99, 129.99, 127.48]",Yes,Yes
LGA1151,Intel Z170,Yes,ATX,MSI,64GB,DDR4-2133 / 2400 / 2800 / 3000 / 3200 / 3600,MSI Z170A SLI PLUS ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[133.88, 123.99, 133.92, 139.79, 139.99]",Yes,Yes
LGA1151,Intel Z170,Yes,Micro ATX,Gigabyte,64GB,DDR4-2133 / 2400 / 2800 / 3000 / 3200,Gigabyte GA-Z170M-D3H Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[98.99, 113.15, 117.98]",Yes,No
AM3+,AMD 970,Yes,ATX,Gigabyte,32GB,DDR3-1066 / 1333 / 1600 / 1866 / 2000,Gigabyte GA-970A-DS3P ATX AM3+ Motherboard,1 x 10/100/1000 Mbps,Yes,No,"[59.99, 69.89, 69.99]",Yes,No
