CPU Socket,Chipset,CrossFire Support,Form Factor,Manufacturer,Maximum Supported Memory,Memory Type,Name,Onboard Ethernet,Onboard USB 3.0 Header(s),Onboard Video,Prices,RAID Support,SLI Support
LGA1155,Intel B75,No,Micro ATX,MSI,32GB,DDR3-1066 / 1333 / 1600 / 1800 / 2000 / 2200 / 2400,MSI B75MA-P45 Micro ATX LGA1155 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,[80.23],Yes,No
LGA1150,Intel H81,No,Mini ITX,MSI,16GB,DDR3-1066 / 1333 / 1600,MSI H81I Mini ITX LGA1150 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[61.99, 63.99, 65.88, 61.99, 66.99, 78.99]",No,No
AM3+,AMD 970,Yes,ATX,MSI,32GB,DDR3-1066 / 1333 / 1600 / 1866 / 2133,MSI 970A SLI Krait Edition ATX AM3+ Motherboard,1 x 10/100/1000 Mbps,Yes,No,"[79.99, 93.89, 93.99]",Yes,Yes
LGA1151,Intel Z270,Yes,ATX,Asus,64GB,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400 / 3466 / 3600 / 3733 / 3866,Asus TUF Z270 MARK 2 ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[149.0, 149.99, 149.99, 158.16, 149.99]",Yes,Yes
LGA1151,Intel H110,No,Micro ATX,Asus,32GB,DDR4-2133,Asus H110M-K Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[54.99, 62.3, 66.01, 62.99]",No,No
LGA1151,Intel Z170,Yes,ATX,MSI,64GB,DDR4-2133 / 2400 / 2800 / 3000 / 3200 / 3600,MSI Z170A GAMING M3 ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[144.0, 144.95, 146.99, 149.99, 152.88, 149.99, 144.0, 215.98]",Yes,No
LGA1151,Intel Z270,Yes,ATX,MSI,64GB,DDR4-2133 / 2400 / 2800 / 3000 / 3200 / 3600 / 3800,MSI Z270 SLI PLUS ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[149.0, 149.99, 149.99, 156.99, 149.0, 164.47]",Yes,Yes
AM3+,AMD 990X,Yes,ATX,Asus,32GB,DDR3-1066 / 1333 / 1600 / 1866 / 2133,Asus M5A99X EVO R2.0 ATX AM3+ Motherboard,1 x 10/100/1000 Mbps,Yes,No,"[121.99, 148.22, 199.89]",Yes,Yes
LGA1150,Intel Q87,No,Thin Mini ITX,Gigabyte,16GB,DDR3-1333 / 1600,Gigabyte GA-Q87TN Thin Mini ITX LGA1150 Motherboard,2 x 10/100/1000 Mbps,No,Depends on CPU,[160.0],No,No
LGA2011,Intel X79,Yes,SSI CEB,Asus,64GB,DDR3-1066 / 1333 / 1600 / 1866 / 2133 / 2400,Asus P9X79-E WS SSI CEB LGA2011 Motherboard,2 x 10/100/1000 Mbps,Yes,No,[458.99],Yes,4-way SLI
LGA1151,Intel Z170,Yes,ATX,Gigabyte,64GB,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400 / 3466 / 3600 / 3666 / 3733 / 3800 / 3866,Gigabyte GA-Z170X-Ultra Gaming ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[155.98, 158.89, 159.99, 165.52, 158.89, 177.0]",Yes,Yes
LGA1151,Intel Z270,Yes,ATX,ASRock,64GB,DDR4-2133 / 2400 / 2800 / 2933 / 3200 / 3600 / 3733,ASRock Z270 Pro4 ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[119.99, 134.99]",Yes,No
LGA1151,Intel Z270,Yes,ATX,MSI,64GB,DDR4-2133 / 2400 / 2800 / 3000 / 3200 / 3600,MSI Z270 SLI ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[139.99, 139.99, 139.99, 154.6]",Yes,Yes
LGA1151,Intel Z270,Yes,EATX,Gigabyte,64GB,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400 / 3466 / 3600 / 3666 / 3733 / 3800 / 3866 / 4000,Gigabyte GA-Z270X-Gaming 9 EATX LGA1151 Motherboard,2 x 10/100/1000 Mbps,Yes,Depends on CPU,[499.99],Yes,4-way SLI
LGA1150,Intel B85,No,Micro ATX,MSI,32GB,DDR3-1066 / 1333 / 1600,MSI B85M-E45 Micro ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[52.99, 52.99, 52.99, 56.93, 60.88]",No,No
LGA1151,Intel H170,Yes,ATX,Gigabyte,64GB,DDR4-2133,Gigabyte GA-H170-GAMING 3 ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[104.99, 99.99, 137.99]",Yes,No
LGA1151,Intel B150,No,Micro ATX,Asus,64GB,DDR4-2133,Asus B150M-A/M.2 Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[78.99, 86.16, 79.98, 79.99, 79.98, 92.15]",No,No
LGA1150,Intel Z97,Yes,ATX,Gigabyte,32GB,DDR3-1333 / 1600 / 1800 / 1866 / 2000 / 2133 / 2200 / 2400 / 2500 / 2600 / 2666 / 2800 / 2933 / 3000,Gigabyte GA-Z97X-SLI ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[98.99, 135.79, 129.99, 139.89]",Yes,Yes
AM3+/AM3,AMD 970,Yes,ATX,Gigabyte,32GB,DDR3-1066 / 1333 / 1600 / 1866 / 2000,Gigabyte GA-970A-D3P ATX AM3+/AM3 Motherboard,1 x 10/100/1000 Mbps,Yes,No,"[79.99, 81.99, 84.99, 83.99, 83.99, 99.88]",Yes,No
LGA1150,Intel B85,Yes,ATX,ASRock,32GB,DDR3-1066 / 1333 / 1600,ASRock B85 Killer ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,[102.39],No,No
LGA1151,Intel B250,No,Micro ATX,Asus,64GB,DDR4-2133 / 2400,Asus PRIME B250M-A Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[84.99, 85.0, 85.0, 85.0, 96.76]",No,No
LGA2011-3,Intel X99,Yes,Micro ATX,Asus,64GB,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200,Asus X99-M WS Micro ATX LGA2011-3 Motherboard,2 x 10/100/1000 Mbps,Yes,No,"[263.99, 269.99, 269.33, 289.99]",Yes,Yes
AM3+,AMD 990FX,Yes,ATX,Gigabyte,32GB,DDR3-1066 / 1333 / 1600 / 1866 / 2000,Gigabyte GA-990FXA-UD3 ATX AM3+ Motherboard,1 x 10/100/1000 Mbps,Yes,No,[199.88],Yes,Yes
LGA2011-3,Intel X99,Yes,ATX,ASRock,128GB,DDR4-2133 / 2400 / 2800 / 2933 / 3300,ASRock X99 Taichi ATX LGA2011-3 Motherboard,2 x 10/100/1000 Mbps,Yes,No,"[219.99, 219.99, 219.99, 294.99]",Yes,3-way SLI
LGA1151,Intel Z170,Yes,ATX,Gigabyte,64GB,DDR4-2133 / 2400 / 2800 / 3200,Gigabyte GA-Z170X-Gaming 5 ATX LGA1151 Motherboard,2 x 10/100/1000 Mbps,Yes,Depends on CPU,"[151.75, 158.99, 151.75, 164.89, 159.99]",Yes,Yes
LGA1150,Intel H97,Yes,Micro ATX,ASRock,32GB,DDR3-1066 / 1333 / 1600,ASRock H97M PRO4 Micro ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[75.99, 151.74, 199.88, 299.89]",Yes,No
LGA1151,Intel Z270,Yes,ATX,MSI,64GB,DDR4-2133 / 2400 / 2800 / 3000 / 3200 / 3600 / 3800,MSI Z270 PC MATE ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[124.99, 124.99, 124.99, 124.99, 134.99, 135.32]",Yes,No
AM3+,AMD 990FX,Yes,ATX,ASRock,64GB,DDR3-1066 / 1333 / 1600 / 2100,ASRock 990FX Extreme6 ATX AM3+ Motherboard,1 x 10/100/1000 Mbps,Yes,No,"[129.99, 133.99]",Yes,Yes
LGA2011-3,Intel X99,Yes,ATX,Asus,64GB,DDR4-2133 / 2400,Asus SABERTOOTH X99 ATX LGA2011-3 Motherboard,2 x 10/100/1000 Mbps,Yes,No,"[294.99, 294.99, 306.99, 312.99, 319.89, 319.98]",Yes,3-way SLI
AM3+,AMD 970,Yes,ATX,Biostar,64GB,DDR3-800 / 1066 / 1333 / 1600 / 1866 / 2000,Biostar TA970 ATX AM3+ Motherboard,1 x 10/100/1000 Mbps,No,No,"[49.99, 56.88, 67.45]",Yes,No
LGA1150,Intel H87,Yes,Micro ATX,ASRock,32GB,DDR3-1066 / 1333 / 1600,ASRock H87M Pro4/ASM Micro ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,[89.99],Yes,No
LGA1151,Intel H170,No,ATX,Asus,64GB,DDR3-1333 / 1600 / 1866,Asus H170-PLUS D3 ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[92.99, 100.0]",Yes,No
LGA1151,Intel B150,No,Micro ATX,MSI,64GB,DDR4-2133,MSI B150M BAZOOKA PLUS Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[83.99, 84.99, 84.99, 99.99]",No,No
LGA1151,Intel Z170,Yes,ATX,Asus,64GB,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400,Asus Z170-K ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[122.04, 129.99, 122.04, 133.99, 134.99]",Yes,No
FM2+,AMD A68H,No,Mini ITX,MSI,32GB,DDR3-1333 / 1600 / 1866 / 2133,MSI A68HI AC Mini ITX FM2+ Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[79.99, 79.99, 79.99]",Yes,No
LGA1151,Intel H170,Yes,Micro ATX,ASRock,64GB,DDR4-2133,ASRock H170M Pro4 Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[79.99, 83.35, 91.88]",Yes,No
FM2+,AMD A88X,No,Micro ATX,Asus,64GB,DDR3-1333 / 1600 / 1866 / 2133,Asus A88XM-A Micro ATX FM2+ Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[69.99, 199.89]",Yes,No
LGA1151,Intel Z270,Yes,ATX,Asus,64GB,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400 / 3466 / 3600 / 3733 / 3866,Asus PRIME Z270-AR ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[159.95, 177.34]",Yes,Yes
LGA1151,Intel B250,Yes,ATX,Asus,64GB,DDR4-2133 / 2400,Asus PRIME B250-PLUS ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[99.0, 99.99, 99.99, 108.33]",No,No
FM2+,AMD A88X,No,Micro ATX,ASRock,64GB,DDR3-1066 / 1333 / 1600 / 1866 / 2133 / 2400,ASRock FM2A88M PRO3+ Micro ATX FM2+ Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[56.99, 54.99, 69.99, 84.89, 84.99]",Yes,No
LGA1150,Intel H81,No,Mini ITX,ASRock,16GB,DDR3-1066 / 1333 / 1600,ASRock H81M-ITX Mini ITX LGA1150 Motherboard,1 x 10/100/1000 Mbps,No,Depends on CPU,"[59.49, 54.99]",No,No
LGA1151,Intel B250,No,Micro ATX,MSI,32GB,DDR4-2133 / 2400,MSI B250M GAMING PRO Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[84.99, 84.99, 84.99]",No,No
LGA1151,Intel B250,Yes,ATX,ASRock,64GB,DDR4-2133 / 2400,ASRock B250 Pro4 ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,[89.99],No,No
LGA1151,Intel H170,Yes,ATX,Gigabyte,64GB,DDR4-2133,Gigabyte GA-H170-D3H ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,[89.99],Yes,No
LGA1151,Intel Z170,No,Mini ITX,MSI,32GB,DDR4-2133 / 2400 / 2800 / 3000 / 3200,MSI Z170I GAMING PRO AC Mini ITX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[165.99, 171.89, 178.26, 179.99]",Yes,No
FM2+,AMD A88X,No,Micro ATX,ASRock,64GB,DDR3-1066 / 1333 / 1600 / 1866 / 2133 / 2400,ASRock A88M-G/3.1 Micro ATX FM2+ Motherboard,1 x 10/100/1000 Mbps,Yes,Yes,"[69.33, 69.49, 69.99, 69.99, 95.99]",Yes,No
LGA1150,Intel H97,No,ATX,ASRock,32GB,DDR3-1066 / 1333 / 1600,ASRock H97 Anniversary ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,[71.99],Yes,No
LGA1151,Intel Z270,Yes,Micro ATX,Gigabyte,64GB,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400 / 3466 / 3600 / 3666 / 3733 / 3800 / 3866 / 4000,Gigabyte GA-Z270MX-Gaming 5 Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,[164.99],Yes,Yes
LGA1151,Intel Z170,Yes,ATX,Gigabyte,64GB,DDR4-2133 / 2400 / 2800 / 3200,Gigabyte GA-Z170XP-SLI ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[129.89, 129.99, 134.83, 134.99, 134.99]",Yes,Yes
AM3+,AMD 970,Yes,ATX,Asus,32GB,DDR3-1066 / 1333 / 1600 / 1866 / 2133,Asus M5A97 LE R2.0 ATX AM3+ Motherboard,1 x 10/100/1000 Mbps,No,No,"[72.99, 82.88, 74.99, 74.99]",Yes,No
LGA1151,Intel H170,Yes,ATX,Asus,64GB,DDR4-2133,Asus H170-PRO ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,[96.99],Yes,No
FM1,AMD A75,No,Micro ATX,ECS,16GB,DDR3-1333 / 1600 / 1866,ECS A75F-M2 Micro ATX FM1 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,[27.99],Yes,No
LGA1151,Intel Z270,Yes,ATX,Biostar,64GB,DDR4-1866 / 2133 / 2400 / 3600,Biostar Z270GT9 ATX LGA1151 Motherboard,1 x 100 Mbps/1 Gbps/10 Gbps,Yes,Depends on CPU,[328.99],Yes,Yes
LGA1155,Intel H61,No,Thin Mini ITX,Intel,16GB,DDR3-1066 / 1333 / 1600,Intel DH61AG Thin Mini ITX LGA1155 Motherboard,1 x 10/100/1000 Mbps,No,Depends on CPU,[99.99],No,No
LGA1155,Intel H77,No,Thin Mini ITX,Gigabyte,8GB,DDR3-800 / 1066 / 1333 / 1600,Gigabyte GA-H77TN Thin Mini ITX LGA1155 Motherboard,1 x 10/100/1000 Mbps,No,Depends on CPU,[108.3],Yes,No
LGA1150,Intel C224,No,ATX,ASRock,32GB,DDR3-1333 / 1600,ASRock E3C224-V+ ATX LGA1150 Motherboard,2 x 10/100/1000 Mbps,Yes,Yes,"[154.99, 187.46]",Yes,No
LGA1150,Intel B85,Yes,ATX,Gigabyte,32GB,DDR3-1333 / 1600,Gigabyte GA-B85-HD3-A (rev. 1.0) ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,[108.99],No,No
LGA2011-3,Intel X99,Yes,EATX,ASRock,128GB,DDR4-2133 / 2400 / 2800 / 2933 / 3400,ASRock Fatal1ty X99 Professional/3.1 EATX LGA2011-3 Motherboard,1 x 10/100/1000 Mbps,Yes,No,[349.99],Yes,4-way SLI
LGA1151,Intel H270,Yes,ATX,Gigabyte,64GB,DDR4-2133 / 2400,Gigabyte GA-H270-HD3 ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,[99.99],No,No
LGA1150,Intel B85,No,Micro ATX,Biostar,16GB,DDR3-1066 / 1333 / 1600,Biostar B85MG Micro ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[56.89, 67.46]",No,No
LGA1155,Intel H61,No,Micro ATX,Intel,8GB,DDR3-1066 / 1333 / 1600,Intel DH61BEB3 Micro ATX LGA1155 Motherboard,1 x 10/100/1000 Mbps,No,Depends on CPU,[107.9],No,No
AM3+,AMD 970,Yes,ATX,Gigabyte,32GB,DDR3-1066 / 1333 / 1600 / 1866 / 2000,Gigabyte GA-970A-D3 ATX AM3+ Motherboard,1 x 10/100/1000 Mbps,No,No,[99.98],Yes,No
AM3,AMD 890FX,Yes,ATX,MSI,16GB,DDR3-1066 / 1333 / 1600 / 1800 / 2133,MSI 890FXA-GD70 ATX AM3 Motherboard,2 x 10/100/1000 Mbps,No,No,[208.59],Yes,No
LGA1150,Intel B85,Yes,Micro ATX,ASRock,16GB,DDR3-1066 / 1333 / 1600,ASRock B85M Micro ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,[62.99],No,No
LGA1150,Intel Z87,Yes,ATX,ECS,32GB,DDR3-1066 / 1333 / 1600,ECS Z87H3-AX GOLDEN (1.0) ATX LGA1150 Motherboard,2 x 10/100/1000 Mbps,Yes,Depends on CPU,[387.99],Yes,Yes
LGA1150,Intel B85,No,Micro ATX,MSI,32GB,DDR3-1066 / 1333 / 1600,MSI CSM-B85M-E45 Micro ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,[95.99],No,No
LGA1150,Intel B85,No,Micro ATX,ASRock,16GB,DDR3-1066 / 1333 / 1600,ASRock B85M-HDS Micro ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[63.99, 90.85]",No,No
LGA1150,Intel Q87,No,Micro ATX,Gigabyte,32GB,DDR3-1333 / 1600,Gigabyte GA-Q87M-D2H Micro ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[115.99, 136.26]",Yes,No
LGA2011-3,Intel X99,Yes,ATX,ASRock,64GB,DDR4-1600 / 1866 / 2133 / 2400 / 2666 / 2800 / 3000,ASRock X99 Extreme3 ATX LGA2011-3 Motherboard,1 x 10/100/1000 Mbps,Yes,No,"[159.99, 189.99, 210.49]",Yes,Yes
LGA1150,Intel H81,No,Micro ATX,Asus,16GB,DDR3-1066 / 1333 / 1600,Asus H81M-K Micro ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,No,Depends on CPU,"[49.99, 52.88, 49.99, 57.27, 49.99]",No,No
LGA1156,Intel Q57,No,Micro ATX,Intel,16GB,DDR3-1066 / 1333,Intel DQ57TM Micro ATX LGA1156 Motherboard,1 x 10/100/1000 Mbps,No,No,[142.23],No,No
LGA1151,Intel B150,Yes,Micro ATX,ASRock,64GB,DDR4-2133,ASRock B150M Pro4V Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[67.99, 72.89, 72.99, 67.99, 96.99]",No,No
LGA1151,Intel B150,No,Micro ATX,MSI,64GB,DDR4-2133,MSI B150M BAZOOKA Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[94.88, 84.99, 84.99, 84.99, 84.99, 99.99]",No,No
LGA2011-3,Intel X99,Yes,ATX,MSI,128GB,DDR4-2133 / 2400 / 2666 / 3000 / 3333,MSI X99A SLI KRAIT EDITION ATX LGA2011-3 Motherboard,1 x 10/100/1000 Mbps,Yes,No,"[229.99, 239.99, 239.99, 272.25]",Yes,3-way SLI
LGA1151,Intel Z270,Yes,ATX,Asus,64GB,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400 / 3466 / 3600 / 3733 / 3866,Asus PRIME Z270-K ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[142.99, 145.0, 145.99, 152.09, 145.99]",Yes,Yes
LGA1151,Intel Z170,Yes,ATX,Asus,64GB,DDR4-2133 / 2400,Asus SABERTOOTH Z170 MARK 1 ATX LGA1151 Motherboard,2 x 10/100/1000 Mbps,Yes,Depends on CPU,"[230.36, 234.99, 239.99, 230.36, 249.89, 277.03]",Yes,Yes
LGA1151,Intel Z170,Yes,ATX,EVGA,64GB,DDR4-1866 / 2133 / 2400 / 2800 / 3000 / 3200,EVGA Z170 FTW ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[156.77, 164.47, 160.99, 159.99]",Yes,Yes
LGA2011-3,Intel X99,Yes,ATX,ASRock,128GB,DDR4-1600 / 1866 / 2133 / 2400 / 2666 / 2800 / 3000,ASRock Fatal1ty X99X Killer ATX LGA2011-3 Motherboard,2 x 10/100/1000 Mbps,Yes,No,"[246.99, 254.99, 303.9]",Yes,3-way SLI
LGA775,Intel P45,No,ATX,Intel,8GB,DDR3-1333,Intel DP45SG ATX LGA775 Motherboard,1 x 10/100/1000 Mbps,No,No,[153.99],Yes,Yes
LGA1150,Intel H97,No,Mini ITX,ASRock,16GB,DDR3-1066 / 1333 / 1600,ASRock H97M-ITX/AC Mini ITX LGA1150 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[86.99, 107.84]",Yes,No
AM3+,AMD 990FX,Yes,ATX,ASRock,64GB,DDR3-1066 / 1333 / 1600 / 1866 / 2100,ASRock 990FX Extreme9 ATX AM3+ Motherboard,1 x 10/100/1000 Mbps,Yes,No,[166.99],Yes,3-way SLI
LGA1151,Intel Z170,Yes,ATX,Asus,64GB,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400 / 3466 / 3600 / 3733 / 3800 / 3866,Asus Z170-PRO ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Yes,"[179.99, 189.39, 189.99, 194.99, 194.99]",Yes,Yes
LGA1151,Intel B150,No,Micro ATX,MSI,32GB,DDR4-2133,MSI B150M Gaming Pro Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[78.88, 79.99, 87.98, 79.99, 89.55, 94.99]",No,No
2 x LGA2011,Intel C602,Yes,SSI EEB,ASRock,512GB,DDR3-1066 / 1333 / 1600 / 1866,ASRock EP2C602-4L/D16 SSI EEB Dual-CPU LGA2011 Motherboard,4 x 10/100/1000 Mbps,No,Yes,"[314.99, 369.99]",Yes,Yes
LGA1151,Intel B250,Yes,ATX,MSI,64GB,DDR4-2133 / 2400,MSI B250 PC MATE ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[94.99, 94.99, 94.99, 104.63, 104.99]",No,No
LGA1151,Intel H110,No,Micro ATX,Asus,32GB,DDR4-2133,Asus H110M-A Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,[79.99],No,No
AM3+/AM3,AMD 970,Yes,ATX,MSI,32GB,DDR3-1066 / 1333 / 1600 / 1866 / 2133,MSI 970A GAMING PRO CARBON ATX AM3+/AM3 Motherboard,1 x 10/100/1000 Mbps,Yes,No,"[99.88, 99.99, 99.99, 109.95, 109.99, 115.99]",Yes,Yes
LGA1151,Intel Z270,Yes,ATX,Gigabyte,64GB,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400 / 3466 / 3600 / 3666 / 3733 / 3800 / 3866 / 4000,Gigabyte GA-Z270X-Gaming 5 ATX LGA1151 Motherboard,2 x 10/100/1000 Mbps,Yes,Depends on CPU,"[199.99, 194.99, 194.99, 217.18, 229.0]",No,Yes
LGA1150,Intel H97,No,Mini ITX,Gigabyte,16GB,DDR3-1066 / 1333 / 1600,Gigabyte GA-H97N-WIFI Mini ITX LGA1150 Motherboard,2 x 10/100/1000 Mbps,Yes,Depends on CPU,"[116.99, 120.0]",Yes,No
LGA1151,Intel Z270,Yes,Micro ATX,Gigabyte,64GB,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400 / 3466 / 3600 / 3666 / 3733 / 3800 / 3866,Gigabyte GA-Z270M-D3H Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[119.99, 119.99]",Yes,No
LGA1151,Intel H270,Yes,ATX,Asus,64GB,DDR4-2133 / 2400,Asus STRIX H270F GAMING ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[139.0, 139.0, 139.0, 139.99, 146.0]",Yes,No
LGA1151,Intel Z170,Yes,ATX,Asus,64GB,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400 / 3466 / 3600 / 3733,Asus Z170-WS ATX LGA1151 Motherboard,2 x 10/100/1000 Mbps,Yes,Depends on CPU,"[339.99, 349.99, 349.99, 362.51]",Yes,4-way SLI
LGA1151,Intel H270,Yes,Micro ATX,MSI,64GB,DDR4-2133 / 2400,MSI H270M MORTAR ARCTIC Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[109.99, 109.99, 109.99, 109.99]",Yes,No
LGA2011-3,Intel X99,Yes,EATX,MSI,128GB,DDR4-2133 / 2400 / 2800 / 3000 / 3333 / 3400,MSI X99A GODLIKE GAMING EATX LGA2011-3 Motherboard,2 x 10/100/1000 Mbps,Yes,No,"[498.99, 523.98, 528.99, 528.99, 529.99, 529.99]",Yes,4-way SLI
LGA1150,Intel Z97,Yes,ATX,Asus,32GB,DDR3-1333 / 1600 / 1866 / 2000 / 2133 / 2200 / 2400 / 2500 / 2666 / 2800 / 2933 / 3000 / 3100 / 3200,Asus Z97 PRO GAMER ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,[199.89],Yes,Yes
AM3+,AMD 970,Yes,ATX,Gigabyte,32GB,DDR3-1066 / 1333 / 1600 / 1866 / 2000,Gigabyte GA-970A-UD3P ATX AM3+ Motherboard,1 x 10/100/1000 Mbps,Yes,No,"[84.99, 94.88]",Yes,No
LGA1151,Intel B150,Yes,ATX,Asus,64GB,DDR3-1333 / 1600 / 1866,Asus B150 PRO GAMING D3 ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[196.79, 166.8]",No,No
AM3+,AMD 760G,No,Micro ATX,Gigabyte,16GB,DDR3-1066 / 1333,Gigabyte GA-78LMT-S2 Micro ATX AM3+ Motherboard,1 x 10/100/1000 Mbps,No,Yes,"[51.99, 54.86, 58.28]",Yes,No
LGA1151,Intel H270,No,Micro ATX,MSI,64GB,DDR4-2133 / 2400,MSI H270M BAZOOKA Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[94.99, 94.99, 94.99, 105.42, 106.53]",Yes,No
LGA1151,Intel H170,Yes,ATX,Asus,64GB,DDR4-2133,Asus H170-PRO/CSM ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[96.99, 104.99, 96.99, 103.99]",Yes,No
LGA1151,Intel H170,No,Mini ITX,ASRock,32GB,DDR4-2133,ASRock H170M-ITX/DL Mini ITX LGA1151 Motherboard,2 x 10/100/1000 Mbps,Yes,Depends on CPU,"[85.88, 85.99, 84.99, 95.99, 110.74]",Yes,No
