CAS Latency,ECC,Heat Spreader,Manufacturer,Name,Price/GB,Prices,Size,Speed,is_ddr4,ddr3_speed,ddr4_speed,ddr_speed
11,No,Yes,G.Skill,G.Skill Ares Series 16GB (4 x 4GB) DDR3-2400 Memory,$6.75,"[107.99, 112.97]",16GB (4 x 4GB),DDR3-2400,False,2400.0,,2400
7,No,No,Crucial,Crucial 2GB (1 x 2GB) DDR3-1066 Memory,$6.00,"[12.0, 19.99, 21.99, 21.45, 25.98]",2GB (1 x 2GB),DDR3-1066,False,1066.0,,1066
9,No,No,G.Skill,G.Skill 4GB (2 x 2GB) DDR3-1333 Memory,$6.97,"[27.88, 27.99]",4GB (2 x 2GB),DDR3-1333,False,1333.0,,1333
11,Yes,No,Crucial,Crucial 16GB (2 x 8GB) Registered DDR3-1600 Memory,$7.41,[118.5],16GB (2 x 8GB),DDR3-1600,False,1600.0,,1600
9,No,Yes,Mushkin,Mushkin Blackline 16GB (2 x 8GB) DDR3-1600 Memory,$6.87,[109.89],16GB (2 x 8GB),DDR3-1600,False,1600.0,,1600
11,No,No,Mushkin,Mushkin Essentials 16GB (1 x 16GB) DDR3-1600 Memory,$12.49,"[199.89, 209.78, 209.89, 209.89]",16GB (1 x 16GB),DDR3-1600,False,1600.0,,1600
11,No,No,VisionTek,VisionTek 8GB (1 x 8GB) DDR3-1600 Memory,$10.87,"[86.99, 88.98, 90.86, 88.36, 98.99]",8GB (1 x 8GB),DDR3-1600,False,1600.0,,1600
9,No,Yes,Kingston,Kingston HyperX 16GB (4 x 4GB) DDR3-1600 Memory,$13.00,[208.05],16GB (4 x 4GB),DDR3-1600,False,1600.0,,1600
9,No,Yes,Kingston,Kingston Savage 32GB (4 x 8GB) DDR3-1600 Memory,$7.75,"[247.99, 247.02, 290.99]",32GB (4 x 8GB),DDR3-1600,False,1600.0,,1600
9,No,Yes,Corsair,Corsair Vengeance Pro 16GB (4 x 4GB) DDR3-2133 Memory,$11.87,"[189.99, 277.99]",16GB (4 x 4GB),DDR3-2133,False,2133.0,,2133
11,Yes,No,Kingston,Kingston 16GB (4 x 4GB) Registered DDR3-1600 Memory,$7.87,[117.87],16GB (4 x 4GB),DDR3-1600,False,1600.0,,1600
11,Yes,No,Kingston,Kingston 8GB (1 x 8GB) Registered DDR3-1600 Memory,$10.50,[79.99],8GB (1 x 8GB),DDR3-1600,False,1600.0,,1600
9,No,No,Wintec,Wintec Value 16GB (2 x 8GB) DDR3-1333 Memory,$5.87,[93.99],16GB (2 x 8GB),DDR3-1333,False,1333.0,,1333
11,No,Yes,G.Skill,G.Skill Ripjaws Z Series 64GB (8 x 8GB) DDR3-2400 Memory,$6.37,[407.99],64GB (8 x 8GB),DDR3-2400,False,2400.0,,2400
9,No,Yes,G.Skill,G.Skill Ripjaws Z Series 16GB (4 x 4GB) DDR3-2133 Memory,$6.69,"[106.99, 111.97]",16GB (4 x 4GB),DDR3-2133,False,2133.0,,2133
9,No,Yes,Crucial,Crucial Ballistix Sport 4GB (2 x 2GB) DDR3-1600 Memory,$7.75,"[29.99, 39.89]",4GB (2 x 2GB),DDR3-1600,False,1600.0,,1600
9,No,Yes,Corsair,Corsair Vengeance Performance 8GB (2 x 4GB) DDR3-1600 Memory,$7.62,"[59.99, 59.99, 74.99]",8GB (2 x 4GB),DDR3-1600,False,1600.0,,1600
11,Yes,No,Kingston,Kingston 32GB (4 x 8GB) Registered DDR3-1600 Memory,$8.00,"[255.87, 292.86, 287.99]",32GB (4 x 8GB),DDR3-1600,False,1600.0,,1600
10,No,Yes,Mushkin,Mushkin Blackline 16GB (4 x 4GB) DDR3-2133 Memory,$5.31,[84.97],16GB (4 x 4GB),DDR3-2133,False,2133.0,,2133
9,No,Yes,Kingston,Kingston HyperX Fury White 8GB (2 x 4GB) DDR3-1333 Memory,$8.50,"[67.99, 67.99, 72.99]",8GB (2 x 4GB),DDR3-1333,False,1333.0,,1333
9,No,Yes,Mushkin,Mushkin Stealth 8GB (2 x 4GB) DDR3-1600 Memory,$5.37,"[42.99, 51.89, 51.99, 65.5]",8GB (2 x 4GB),DDR3-1600,False,1600.0,,1600
13,No,No,Crucial,Crucial 4GB (1 x 4GB) DDR3-1866 Memory,$6.50,"[26.0, 26.99, 29.0, 34.97]",4GB (1 x 4GB),DDR3-1866,False,1866.0,,1866
11,No,Yes,Silicon Power,Silicon Power 8GB (2 x 4GB) DDR3-2133 Memory,$11.34,[82.54],8GB (2 x 4GB),DDR3-2133,False,2133.0,,2133
9,Yes,No,Mushkin,Mushkin PROLINE 16GB (1 x 16GB) Registered DDR3-1333 Memory,$5.00,"[79.98, 109.82, 115.76]",16GB (1 x 16GB),DDR3-1333,False,1333.0,,1333
11,Yes,No,Kingston,Kingston 4GB (1 x 4GB) DDR3-1600 Memory,$8.50,"[33.99, 38.63, 43.99]",4GB (1 x 4GB),DDR3-1600,False,1600.0,,1600
9,No,Yes,Crucial,Crucial Ballistix Sport XT 16GB (2 x 8GB) DDR3-1600 Memory,$6.56,"[104.99, 99.99]",16GB (2 x 8GB),DDR3-1600,False,1600.0,,1600
9,No,No,Crucial,Crucial 4GB (1 x 4GB) DDR3-1333 Memory,$7.24,[24.49],4GB (1 x 4GB),DDR3-1333,False,1333.0,,1333
9,No,Yes,G.Skill,G.Skill Ripjaws Z Series 8GB (4 x 2GB) DDR3-2133 Memory,$8.00,"[63.99, 64.1, 68.97]",8GB (4 x 2GB),DDR3-2133,False,2133.0,,2133
11,No,No,Mushkin,Mushkin Essentials 2GB (1 x 2GB) DDR3-1600 Memory,$7.49,"[13.99, 16.06, 18.97]",2GB (1 x 2GB),DDR3-1600,False,1600.0,,1600
9,No,No,G.Skill,G.Skill 8GB (1 x 8GB) DDR3-1333 Memory,$5.87,[45.99],8GB (1 x 8GB),DDR3-1333,False,1333.0,,1333
11,Yes,No,Crucial,Crucial 8GB (2 x 4GB) DDR3-1600 Memory,$13.00,[103.99],8GB (2 x 4GB),DDR3-1600,False,1600.0,,1600
11,No,Yes,ADATA,ADATA XPG V2 16GB (2 x 8GB) DDR3-2400 Memory,$8.64,[130.15],16GB (2 x 8GB),DDR3-2400,False,2400.0,,2400
9,No,Yes,Corsair,Corsair XMS3 8GB (2 x 4GB) DDR3-2000 Memory,$15.62,[124.99],8GB (2 x 4GB),DDR3-2000,False,2000.0,,2000
11,No,Yes,Kingston,Kingston 16GB (2 x 8GB) DDR3-1866 Memory,$6.25,"[100.0, 130.99]",16GB (2 x 8GB),DDR3-1866,False,1866.0,,1866
11,No,No,ADATA,ADATA Premier Series 16GB (2 x 8GB) DDR3-1600 Memory,$6.37,[93.88],16GB (2 x 8GB),DDR3-1600,False,1600.0,,1600
9,No,Yes,Crucial,Crucial Ballistix 4GB (2 x 2GB) DDR3-2133 Memory,$40.00,[160.0],4GB (2 x 2GB),DDR3-2133,False,2133.0,,2133
9,No,Yes,Corsair,Corsair XMS3 8GB (4 x 2GB) DDR3-1600 Memory,$10.00,"[79.99, 99.99]",8GB (4 x 2GB),DDR3-1600,False,1600.0,,1600
9,No,Yes,G.Skill,G.Skill 6GB (3 x 2GB) DDR3-1333 Memory,$7.16,"[41.99, 46.97, 48.3]",6GB (3 x 2GB),DDR3-1333,False,1333.0,,1333
9,No,Yes,G.Skill,G.Skill 4GB (2 x 2GB) DDR3-1333 Memory,$8.74,"[33.99, 42.08]",4GB (2 x 2GB),DDR3-1333,False,1333.0,,1333
9,No,Yes,Corsair,Corsair Dominator GT 12GB (3 x 4GB) DDR3-2000 Memory,$16.25,[194.99],12GB (3 x 4GB),DDR3-2000,False,2000.0,,2000
9,No,Yes,Corsair,Corsair Vengeance 64GB (8 x 8GB) DDR3-1600 Memory,$6.42,"[401.83, 549.99]",64GB (8 x 8GB),DDR3-1600,False,1600.0,,1600
13,No,No,Mushkin,Mushkin Essentials 32GB (4 x 8GB) DDR3-1866 Memory,$4.69,"[149.99, 195.99]",32GB (4 x 8GB),DDR3-1866,False,1866.0,,1866
11,No,Yes,Wintec,Wintec One 16GB (2 x 8GB) DDR3-1600 Memory,$6.00,[95.99],16GB (2 x 8GB),DDR3-1600,False,1600.0,,1600
12,No,No,Mushkin,Mushkin Stealth 16GB (4 x 4GB) DDR3-2800 Memory,$30.37,[485.99],16GB (4 x 4GB),DDR3-2800,False,2800.0,,2800
9,No,Yes,Corsair,Corsair Dominator Platinum 8GB (2 x 4GB) DDR3-1600 Memory,$13.12,"[104.99, 144.98]",8GB (2 x 4GB),DDR3-1600,False,1600.0,,1600
11,No,No,G.Skill,G.Skill 16GB (2 x 8GB) DDR3-1600 Memory,$5.87,"[93.99, 100.74]",16GB (2 x 8GB),DDR3-1600,False,1600.0,,1600
9,No,Yes,Kingston,Kingston HyperX Fury Red 8GB (1 x 8GB) DDR3-1333 Memory,$7.78,"[54.1, 68.99, 67.99]",8GB (1 x 8GB),DDR3-1333,False,1333.0,,1333
9,No,Yes,Corsair,Corsair Vengeance 8GB (2 x 4GB) DDR3-1600 Memory,$10.00,[79.99],8GB (2 x 4GB),DDR3-1600,False,1600.0,,1600
7,No,No,Kingston,Kingston ValueRAM 4GB (2 x 2GB) DDR3-1066 Memory,$9.50,[38.0],4GB (2 x 2GB),DDR3-1066,False,1066.0,,1066
9,No,No,GeIL,GeIL Green Series 8GB (1 x 8GB) DDR3-1333 Memory,$9.50,[75.99],8GB (1 x 8GB),DDR3-1333,False,1333.0,,1333
9,No,Yes,ADATA,ADATA XPG V2 8GB (2 x 4GB) DDR3-1600 Memory,$6.62,"[51.99, 54.97]",8GB (2 x 4GB),DDR3-1600,False,1600.0,,1600
11,No,Yes,ADATA,ADATA XPG V2 16GB (2 x 8GB) DDR3-2600 Memory,$27.62,[442.0],16GB (2 x 8GB),DDR3-2600,False,2600.0,,2600
9,No,Yes,ADATA,ADATA XPG V2 16GB (2 x 8GB) DDR3-1600 Memory,$6.25,[99.99],16GB (2 x 8GB),DDR3-1600,False,1600.0,,1600
11,No,No,Micron,Micron 4GB (1 x 4GB) DDR3-1600 Memory,$6.35,"[21.0, 180.0]",4GB (1 x 4GB),DDR3-1600,False,1600.0,,1600
12,No,No,Mushkin,Mushkin Stealth 8GB (2 x 4GB) DDR3-2800 Memory,$28.75,[229.99],8GB (2 x 4GB),DDR3-2800,False,2800.0,,2800
12,No,Yes,G.Skill,G.Skill Trident X Series 16GB (4 x 4GB) DDR3-2800 Memory,$41.12,[657.99],16GB (4 x 4GB),DDR3-2800,False,2800.0,,2800
9,No,Yes,Corsair,Corsair Dominator Platinum 8GB (2 x 4GB) DDR3-2133 Memory,$24.37,[194.99],8GB (2 x 4GB),DDR3-2133,False,2133.0,,2133
9,No,Yes,Corsair,Corsair Vengeance LP 16GB (4 x 4GB) DDR3-2133 Memory,$8.12,[129.99],16GB (4 x 4GB),DDR3-2133,False,2133.0,,2133
9,No,Yes,Corsair,Corsair Vengeance LP 16GB (4 x 4GB) DDR3-1866 Memory,$7.50,[119.99],16GB (4 x 4GB),DDR3-1866,False,1866.0,,1866
9,No,Yes,Corsair,Corsair XMS 64GB (8 x 8GB) DDR3-1600 Memory,$6.02,[384.99],64GB (8 x 8GB),DDR3-1600,False,1600.0,,1600
9,No,Yes,G.Skill,G.Skill 6GB (3 x 2GB) DDR3-1600 Memory,$8.50,"[49.99, 55.48]",6GB (3 x 2GB),DDR3-1600,False,1600.0,,1600
12,No,Yes,Corsair,Corsair Dominator Platinum 8GB (2 x 4GB) DDR3-2800 Memory,$33.12,[264.99],8GB (2 x 4GB),DDR3-2800,False,2800.0,,2800
12,No,Yes,Corsair,Corsair Vengeance Pro 8GB (2 x 4GB) DDR3-2933 Memory,$47.50,[379.99],8GB (2 x 4GB),DDR3-2933,False,2933.0,,2933
13,Yes,No,Crucial,Crucial 32GB (2 x 16GB) Registered DDR3-1866 Memory,$6.59,"[211.0, 230.98, 283.99, 300.96]",32GB (2 x 16GB),DDR3-1866,False,1866.0,,1866
11,No,No,Crucial,Crucial 2GB (1 x 2GB) DDR3-1600 Memory,$15.49,"[30.99, 30.99]",2GB (1 x 2GB),DDR3-1600,False,1600.0,,1600
13,Yes,No,Mushkin,Mushkin Proline 16GB (2 x 8GB) DDR3-1866 Memory,$9.00,[143.99],16GB (2 x 8GB),DDR3-1866,False,1866.0,,1866
9,No,No,PNY,PNY 4GB (1 x 4GB) DDR3-1333 Memory,$8.75,"[34.99, 31.99]",4GB (1 x 4GB),DDR3-1333,False,1333.0,,1333
11,No,Yes,Corsair,Corsair Vengeance Pro 16GB (2 x 8GB) DDR3-2133 Memory,$6.87,"[109.99, 136.97]",16GB (2 x 8GB),DDR3-2133,False,2133.0,,2133
11,No,No,Patriot,Patriot Signature 16GB (2 x 8GB) DDR3-1600 Memory,$6.38,[94.0],16GB (2 x 8GB),DDR3-1600,False,1600.0,,1600
11,Yes,No,Kingston,Kingston 4GB (1 x 4GB) DDR3-1600 Memory,$8.46,"[33.84, 34.97, 35.99, 35.0, 43.99]",4GB (1 x 4GB),DDR3-1600,False,1600.0,,1600
9,No,No,G.Skill,G.Skill 2GB (1 x 2GB) DDR3-1600 Memory,$7.50,"[14.99, 16.62, 18.6]",2GB (1 x 2GB),DDR3-1600,False,1600.0,,1600
10,No,Yes,Klevv,Klevv Neo 8GB (2 x 4GB) DDR3-2133 Memory,$5.62,[44.99],8GB (2 x 4GB),DDR3-2133,False,2133.0,,2133
9,No,Yes,Crucial,Crucial Ballistix Tactical Tracer 8GB (2 x 4GB) DDR3-1866 Memory,$10.03,[72.08],8GB (2 x 4GB),DDR3-1866,False,1866.0,,1866
9,No,No,G.Skill,G.Skill 8GB (1 x 8GB) DDR3-1333 Memory,$6.25,"[49.97, 50.99]",8GB (1 x 8GB),DDR3-1333,False,1333.0,,1333
10,No,Yes,G.Skill,G.Skill Ripjaws X Series 32GB (4 x 8GB) DDR3-1866 Memory,$6.19,[197.99],32GB (4 x 8GB),DDR3-1866,False,1866.0,,1866
11,No,No,V7,V7 8GB (1 x 8GB) DDR3-1600 Memory,$5.77,[46.16],8GB (1 x 8GB),DDR3-1600,False,1600.0,,1600
11,No,No,Kingston,Kingston 8GB (2 x 4GB) DDR3-1600 Memory,$7.42,"[59.39, 59.36, 65.0]",8GB (2 x 4GB),DDR3-1600,False,1600.0,,1600
11,No,Yes,Corsair,Corsair Vengeance Pro 32GB (4 x 8GB) DDR3-1600 Memory,$6.56,"[209.99, 202.08, 249.99, 264.99]",32GB (4 x 8GB),DDR3-1600,False,1600.0,,1600
9,No,Yes,Crucial,Crucial Ballistix Tactical Tracer 8GB (2 x 4GB) DDR3-1866 Memory,$9.62,"[76.99, 99.95]",8GB (2 x 4GB),DDR3-1866,False,1866.0,,1866
9,No,Yes,Corsair,Corsair Dominator Platinum 32GB (4 x 8GB) DDR3-1600 Memory,$12.97,[414.99],32GB (4 x 8GB),DDR3-1600,False,1600.0,,1600
9,Yes,No,Mushkin,Mushkin Proline 32GB (1 x 32GB) Registered DDR3-1333 Memory,$6.87,"[219.98, 299.87]",32GB (1 x 32GB),DDR3-1333,False,1333.0,,1333
9,No,Yes,PNY,PNY 8GB (1 x 8GB) DDR3-1866 Memory,$8.59,[60.59],8GB (1 x 8GB),DDR3-1866,False,1866.0,,1866
11,No,Yes,AMD,AMD R5 Entertainment Series 8GB (1 x 8GB) DDR3-1600 Memory,$10.84,[78.69],8GB (1 x 8GB),DDR3-1600,False,1600.0,,1600
9,No,No,Transcend,Transcend 4GB (1 x 4GB) DDR3-1333 Memory,$9.77,[39.06],4GB (1 x 4GB),DDR3-1333,False,1333.0,,1333
13,Yes,No,Kingston,Kingston 64GB (4 x 16GB) Registered DDR3-1866 Memory,$8.05,"[506.9, 620.0]",64GB (4 x 16GB),DDR3-1866,False,1866.0,,1866
11,No,Yes,G.Skill,G.Skill Ripjaws 32GB (4 x 8GB) DDR3-2133 Memory,$6.37,"[203.99, 208.97, 226.42]",32GB (4 x 8GB),DDR3-2133,False,2133.0,,2133
9,No,Yes,G.Skill,G.Skill Ripjaws 32GB (4 x 8GB) DDR3-1333 Memory,$5.62,"[179.99, 184.97]",32GB (4 x 8GB),DDR3-1333,False,1333.0,,1333
9,No,Yes,Corsair,Corsair Dominator 16GB (2 x 8GB) DDR3-1866 Memory,$8.46,"[126.97, 139.99]",16GB (2 x 8GB),DDR3-1866,False,1866.0,,1866
11,No,No,PNY,PNY 8GB (1 x 8GB) DDR3-1600 Memory,$11.25,[89.99],8GB (1 x 8GB),DDR3-1600,False,1600.0,,1600
13,Yes,No,Samsung,Samsung 16GB (1 x 16GB) Registered DDR3-1866 Memory,$9.25,[147.99],16GB (1 x 16GB),DDR3-1866,False,1866.0,,1866
13,No,No,Mushkin,Mushkin Essentials 16GB (2 x 8GB) DDR3-1866 Memory,$6.44,[102.99],16GB (2 x 8GB),DDR3-1866,False,1866.0,,1866
11,No,Yes,Mushkin,Mushkin ECO2 8GB (1 x 8GB) DDR3-1600 Memory,$5.62,"[44.99, 47.88]",8GB (1 x 8GB),DDR3-1600,False,1600.0,,1600
11,No,Yes,Corsair,Corsair Vengeance LP 4GB (1 x 4GB) DDR3-1600 Memory,$7.75,"[29.99, 28.99, 39.99]",4GB (1 x 4GB),DDR3-1600,False,1600.0,,1600
9,No,Yes,Kingston,Kingston HyperX Fury Black 8GB (2 x 4GB) DDR3-1333 Memory,$6.18,"[49.43, 55.99, 68.99, 68.99, 72.99]",8GB (2 x 4GB),DDR3-1333,False,1333.0,,1333
7,No,Yes,G.Skill,G.Skill Ripjaws X Series 8GB (2 x 4GB) DDR3-1600 Memory,$7.25,"[57.99, 64.36]",8GB (2 x 4GB),DDR3-1600,False,1600.0,,1600
10,No,Yes,G.Skill,G.Skill Ares Series 16GB (2 x 8GB) DDR3-1600 Memory,$5.93,"[94.88, 94.99, 99.97]",16GB (2 x 8GB),DDR3-1600,False,1600.0,,1600
9,No,Yes,G.Skill,G.Skill Sniper 8GB (2 x 4GB) DDR3-1333 Memory,$6.75,"[53.99, 58.0]",8GB (2 x 4GB),DDR3-1333,False,1333.0,,1333
