Cache,Capacity,Hybrid SSD Cache,Manufacturer,Name,Power Loss Protection,Price/GB,Prices,RPM,is_ssd,LAUNCHED
128MB,3TB,,Seagate,"Seagate Constellation<br/>Product Series:ES.3 3TB 3.5"" 7200RPM Internal Hard Drive",,$0.079,[237.36],7200,No,Q4 2015
N/A,256GB,,Crucial,"Crucial V4 256GB 2.5"" Solid State Drive",,$1.07,[274.25],,Yes,Q2 2015
8MB,500GB,,Lenovo,"Lenovo ThinkPad 500GB 2.5"" 5400RPM Internal Hard Drive",,$0.15,[69.99],5400,No,Q4 2001
N/A,200GB,,Kingston,"Kingston SSDNow E100 200GB 2.5"" Solid State Drive",Yes,$3.59,[718.98],,Yes,Q1 2011
32MB,500GB,,Hitachi,"Hitachi Ultrastar 500GB 3.5"" 7200RPM Internal Hard Drive",,$0.13,[54.99],7200,No,Q1 2001
N/A,240GB,,Intel,"Intel 335 Series 240GB 2.5"" Solid State Drive",,$0.93,[216.0],,Yes,Q1 2010
8MB,160GB,,Seagate,"Seagate Momentus 5400.6 160GB 2.5"" 5400RPM Internal Hard Drive",,$0.24,"[38.4, 34.99, 41.99]",5400,No,Q3 2009
N/A,240GB,,VisionTek,VisionTek Data Fusion 240GB PCI-E Solid State Drive,,$1.69,"[405.84, 429.99]",,Yes,Q1 2002
16MB,320GB,,Western Digital,"Western Digital AV-GP 320GB 3.5"" 5400RPM Internal Hard Drive",,$0.19,"[51.26, 63.99, 63.99, 69.38]",5400,No,Q4 2012
8MB,320GB,,Toshiba,"Toshiba 320GB 2.5"" 5400RPM Internal Hard Drive",,$0.14,[44.0],5400,No,Q3 2001
N/A,128GB,,Corsair,"Corsair Force LX Series 128GB 2.5"" Solid State Drive",,$0.66,"[84.99, 109.99]",,Yes,Q4 2006
16MB,250GB,,Toshiba,"Toshiba MKxx33GSG Series 250GB 1.8"" 5400RPM Internal Hard Drive",,$0.29,[64.96],5400,No,Q3 2013
N/A,480GB,,OCZ,"OCZ TRION 150 480GB 2.5"" Solid State Drive",,$0.26,"[123.88, 127.99, 129.99, 129.99]",,Yes,Q3 2005
128MB,4TB,,Seagate,"Seagate Constellation Product Series:ES.3 4TB 3.5"" 7200RPM Internal Hard Drive",,$0.046,"[179.99, 321.36]",7200,No,Q3 2008
N/A,32GB,,ADATA,ADATA Premier Pro SP310 32GB mSATA Solid State Drive,,$1.19,"[29.99, 59.89]",,Yes,Q1 2008
N/A,512GB,,Sandisk,Sandisk Ultra II 512GB mSATA Solid State Drive,,$0.46,"[225.96, 299.95]",,Yes,Q4 2013
N/A,2TB,,Samsung,"Samsung 850 EVO 2TB 2.5"" Solid State Drive",,$0.32,"[644.95, 656.38, 679.0, 697.99, 699.99, 699.99, 699.99, 789.99, 853.99]",,Yes,Q3 2014
16MB,500GB,,Western Digital,"Western Digital AV-25 500GB 2.5"" 5400RPM Internal Hard Drive",,$0.100,"[49.99, 63.99, 68.99]",5400,No,Q2 2015
32MB,500GB,,Hitachi,"Hitachi Travelstar 500GB 2.5"" 7200RPM Internal Hard Drive",,$0.100,"[49.95, 54.99, 59.99]",7200,No,Q2 2002
N/A,120GB,,Mushkin,Mushkin Atlas Series 120GB mSATA Solid State Drive,,$0.95,[113.98],,Yes,Q3 2004
32MB,640GB,,Western Digital,"Western Digital Caviar Black 640GB 3.5"" 7200RPM Internal Hard Drive",,$0.11,[73.15],7200,No,Q1 2006
128MB,5TB,,Western Digital,"Western Digital Black 5TB 3.5"" 7200RPM Internal Hard Drive",,$0.044,"[219.88, 219.95, 219.99, 219.95, 249.0, 249.99, 259.98]",7200,No,Q2 2001
64MB,1TB,,Western Digital,"Western Digital AV-GP 1TB 3.5"" 5400RPM Internal Hard Drive",,$0.043,"[43.5, 49.99, 59.99, 66.99, 63.99]",5400,No,Q1 2011
32MB,1TB,,Hitachi,"Hitachi Deskstar 1TB 3.5"" 7200RPM Internal Hard Drive",,$0.11,[99.89],7200,No,Q3 2009
N/A,240GB,,Corsair,"Corsair Force LE 240GB 2.5"" Solid State Drive",,$0.33,"[79.99, 79.99, 89.99]",,Yes,Q3 2004
N/A,160GB,,Intel,"Intel X25-M 160GB 2.5"" Solid State Drive",,$0.74,[109.72],,Yes,Q2 2003
N/A,160GB,,Intel,"Intel X25-M 160GB 2.5"" Solid State Drive",,$0.56,[89.88],,Yes,Q4 2012
32MB,2TB,,Samsung,"Samsung Spinpoint F3 EG 2TB 3.5"" 5400RPM Internal Hard Drive",,$0.091,[173.25],5400,No,Q3 2007
N/A,120GB,,Samsung,"Samsung 120GB 2.5"" Solid State Drive",,$0.96,[114.96],,Yes,Q1 2012
N/A,60GB,,Mushkin,"Mushkin Chronos Deluxe 60GB 2.5"" Solid State Drive",,$2.26,[135.44],,Yes,Q3 2002
N/A,120GB,,ADATA,"ADATA Premier SP550 120GB 2.5"" Solid State Drive",,$0.41,"[48.89, 49.0, 49.0, 52.97, 49.0]",,Yes,Q2 2007
N/A,750GB,,Crucial,"Crucial MX300 750GB 2.5"" Solid State Drive",,$0.24,"[179.68, 229.89, 249.89]",,Yes,Q4 2011
8MB,500GB,,Samsung,"Samsung Spinpoint M7E 500GB 2.5"" 5400RPM Internal Hard Drive",,$0.16,[77.99],5400,No,Q3 2009
N/A,400GB,,Intel,"Intel SSD DC S3500 Series 400GB 1.8"" Solid State Drive",Yes,$0.98,"[393.27, 394.99]",,Yes,Q4 2001
N/A,120GB,,Patriot,Patriot Pyro M3 120GB mSATA Solid State Drive,,$0.90,[99.0],,Yes,Q4 2014
256MB,10TB,,Seagate,"Seagate IronWolf 10TB 3.5"" 7200RPM Internal Hard Drive",,$0.040,"[399.99, 399.99, 399.99, 429.99, 432.99, 469.99]",7200,No,Q3 2015
N/A,60GB,,Corsair,"Corsair Force Series 3 60GB 2.5"" Solid State Drive",,$1.58,[94.99],,Yes,Q1 2004
N/A,480GB,,ADATA,"ADATA Premier SP550 480GB 2.5"" Solid State Drive",,$0.25,"[119.99, 137.99, 137.99]",,Yes,Q2 2003
128MB,900GB,,Seagate,"Seagate 900GB 2.5"" 10000RPM Internal Hard Drive",,$0.33,"[300.89, 429.99]",10000,No,Q3 2013
