Cache,Capacity,Hybrid SSD Cache,Manufacturer,Name,Power Loss Protection,Price/GB,Prices,RPM,is_ssd,LAUNCHED
N/A,120GB,,Samsung,Samsung 850 EVO 120GB mSATA Solid State Drive,,$0.67,"[80.98, 82.98, 89.95, 82.98]",,Yes,Q1 2005
N/A,500GB,,Mushkin,Mushkin Atlas Vital 500GB M.2-2280 Solid State Drive,,$0.32,"[157.89, 163.98]",,Yes,Q4 2009
N/A,256GB,,Samsung,"Samsung 470 Series 256GB 2.5"" Solid State Drive",,$1.55,[389.1],,Yes,Q1 2005
N/A,40GB,,Intel,"Intel 320 Series 40GB 2.5"" Solid State Drive",,$2.25,[90.0],,Yes,Q3 2008
N/A,8GB,,MyDigitalSSD,MyDigitalSSD Super Boot Drive 8GB mSATA Solid State Drive,,$2.50,"[19.99, 19.99]",,Yes,Q2 2014
N/A,80GB,,Intel,"Intel 80GB 2.5"" Solid State Drive",,$1.37,"[109.99, 112.74]",,Yes,Q1 2008
N/A,120GB,,Kingston,Kingston 120GB mSATA Solid State Drive,,$0.53,"[56.99, 63.6, 63.6]",,Yes,Q3 2008
64MB,2TB,,Seagate,"Seagate Surveillance HDD 2TB 3.5"" 5400RPM Internal Hard Drive",,$0.038,"[76.99, 82.99, 84.0, 85.99, 88.99, 89.65]",5400,No,Q2 2009
N/A,1TB,7.8GB,Seagate,"Seagate 1TB 2.5"" 5400RPM Hybrid Internal Hard Drive",,$0.089,"[88.99, 89.01, 89.99, 93.97]",5400,No,Q1 2000
N/A,250GB,,Samsung,"Samsung 840 EVO 250GB 2.5"" Solid State Drive",,$0.42,"[105.89, 167.59, 334.37]",,Yes,Q3 2010
N/A,180GB,,Intel,Intel 180GB M.2-2280 Solid State Drive,,$0.63,[107.75],,Yes,Q4 2008
N/A,240GB,,Kingston,Kingston SSDNow mS200 240GB mSATA Solid State Drive,,$0.42,"[99.99, 100.99, 116.99]",,Yes,Q2 2002
64MB,4TB,,Toshiba,"Toshiba MD03ACA-V 4TB 3.5"" 7200RPM Internal Hard Drive",,$0.036,[134.88],7200,No,Q1 2005
N/A,240GB,,VisionTek,"VisionTek Go Drive 240GB 1.8"" Solid State Drive",,$0.67,"[159.99, 247.51]",,Yes,Q1 2003
N/A,300GB,,OCZ,OCZ Z-Drive R4 CM84 300GB PCI-E Solid State Drive,,$8.00,[2399.99],,Yes,Q2 2014
N/A,180GB,,Intel,"Intel 535 Series 180GB 2.5"" Solid State Drive",,$0.61,[109.7],,Yes,Q2 2006
8MB,1TB,,Seagate,"Seagate Momentus LP 1TB 2.5"" 5400RPM Internal Hard Drive",,$0.070,"[69.99, 69.99, 69.99, 72.88, 72.98, 69.99, 69.99, 89.99]",5400,No,Q4 2003
N/A,400GB,,Intel,"Intel DC P3600 400GB 2.5"" Solid State Drive",,$0.84,"[334.99, 357.7]",,Yes,Q3 2011
N/A,512GB,,Intel,Intel 600p Series 512GB M.2-2280 Solid State Drive,,$0.33,"[169.99, 169.99, 199.98, 209.99]",,Yes,Q2 2000
N/A,120GB,,VisionTek,VisionTek mSATA 120GB mSATA Solid State Drive,,$0.53,"[63.93, 64.99, 65.98, 72.99]",,Yes,Q2 2003
32MB,1TB,,Seagate,"Seagate Barracuda 1TB 3.5"" 7200RPM Internal Hard Drive",,$0.080,"[79.98, 85.0]",7200,No,Q4 2004
8MB,250GB,,Western Digital,"Western Digital Scorpio Blue 250GB 2.5"" 5400RPM Internal Hard Drive",,$0.19,[39.99],5400,No,Q1 2004
N/A,800GB,,Intel,"Intel SSD DC S3500 Series 800GB 2.5"" Solid State Drive",Yes,$0.81,"[647.95, 699.99]",,Yes,Q4 2013
16MB,1TB,,Western Digital,"Western Digital AV-25 1TB 2.5"" 5400RPM Internal Hard Drive",,$0.065,[64.99],5400,No,Q1 2012
64MB,500GB,,Western Digital,"Western Digital Re 500GB 3.5"" 7200RPM Internal Hard Drive",,$0.15,"[73.14, 74.98, 75.99, 79.99, 83.74]",7200,No,Q3 2009
N/A,480GB,,Intel,"Intel Pro 2500 480GB 2.5"" Solid State Drive",,$0.48,[229.99],,Yes,Q3 2003
8MB,320GB,,Hitachi,"Hitachi Travelstar Z5K500 320GB 2.5"" 5400RPM Internal Hard Drive",,$0.15,[39.99],5400,No,Q2 2002
64MB,3TB,,Western Digital,"Western Digital Red 3TB 3.5"" 5400RPM Internal Hard Drive",,$0.036,"[106.99, 109.99, 109.99, 114.99, 109.0, 109.99, 119.99, 123.3, 114.99]",5400,No,Q4 2009
128MB,2TB,,Seagate,"Seagate 2TB 2.5"" 7200RPM Internal Hard Drive",,$0.14,"[290.0, 332.99, 333.99]",7200,No,Q2 2010
16MB,320GB,,Seagate,"Seagate Barracuda 320GB 3.5"" 7200RPM Internal Hard Drive",,$0.12,[30.99],7200,No,Q1 2008
128MB,5TB,,Seagate,"Seagate Surveillance HDD 5TB 3.5"" 5400RPM Internal Hard Drive",,$0.046,[229.29],5400,No,Q1 2004
N/A,300GB,,Intel,"Intel 320 Series 300GB 1.8"" Solid State Drive",,$1.09,[318.87],,Yes,Q2 2008
N/A,800GB,,Intel,"Intel 800GB 2.5"" Solid State Drive",,$0.59,"[461.99, 500.99, 503.54]",,Yes,Q1 2006
N/A,60GB,,Kingston,"Kingston SSDNow V300 Series 60GB 2.5"" Solid State Drive",,$0.88,[52.99],,Yes,Q3 2015
64MB,3TB,,Hitachi,"Hitachi Ultrastar 7K4000 3TB 3.5"" 7200RPM Internal Hard Drive",,$0.089,"[265.0, 270.67]",7200,No,Q4 2002
N/A,240GB,,Mushkin,Mushkin Atlas Vital 240GB M.2-2280 Solid State Drive,,$0.39,"[92.88, 97.98, 98.78]",,Yes,Q2 2012
N/A,120GB,,Mushkin,"Mushkin Chronos 120GB 2.5"" Solid State Drive",,$0.58,[69.89],,Yes,Q3 2012
8MB,320GB,,Western Digital,"Western Digital Caviar Blue 320GB 3.5"" 7200RPM Internal Hard Drive",,$0.10,"[23.99, 43.95]",7200,No,Q4 2005
N/A,120GB,,Kingston,"Kingston SSDNow KC380 120GB 1.8"" Solid State Drive",,$0.83,"[99.99, 100.58, 110.98, 114.99, 123.6]",,Yes,Q1 2013
128MB,5TB,,Western Digital,"Western Digital RE 5TB 3.5"" 7200RPM Internal Hard Drive",,$0.092,[449.99],7200,No,Q1 2012
N/A,200GB,,Intel,"Intel DC S3710 200GB 2.5"" Solid State Drive",,$1.25,"[249.99, 255.99, 258.0, 289.0, 339.99]",,Yes,Q2 2014
N/A,128GB,,Transcend,Transcend MTS400 128GB M.2-2242 Solid State Drive,,$0.45,"[56.99, 56.99]",,Yes,Q2 2001
N/A,600GB,,Intel,"Intel SSD DC S3500 Series 600GB 2.5"" Solid State Drive",Yes,$0.95,"[567.99, 581.98, 589.99]",,Yes,Q2 2012
64MB,3TB,,Western Digital,"Western Digital 3TB 3.5"" 5400RPM Internal Hard Drive",,$0.046,"[129.99, 205.75]",5400,No,Q1 2013
64MB,250GB,,Seagate,"Seagate Constellation.2 250GB 2.5"" 7200RPM Internal Hard Drive",,$0.23,"[47.99, 121.99]",7200,No,Q3 2009
N/A,480GB,,Kingston,"Kingston SSDNow KC380 480GB 1.8"" Solid State Drive",,$0.62,"[299.99, 299.99, 299.99, 328.28]",,Yes,Q3 2006
128MB,2TB,,Seagate,"Seagate 2TB 2.5"" 7200RPM Internal Hard Drive",,$0.17,"[349.39, 361.99, 367.38]",7200,No,Q3 2000
N/A,1TB,,Crucial,"Crucial M550 1TB 2.5"" Solid State Drive",Yes,$0.45,[448.06],,Yes,Q3 2005
N/A,120GB,,G.Skill,"G.Skill Phoenix III 120GB 2.5"" Solid State Drive",,$1.55,[185.45],,Yes,Q4 2002
64MB,1TB,,Seagate,"Seagate Constellation.2 1TB 2.5"" 7200RPM Internal Hard Drive",,$0.11,"[109.95, 204.99, 211.99, 225.99]",7200,No,Q3 2009
N/A,240GB,,VisionTek,"VisionTek Go Drive 240GB 2.5"" Solid State Drive",,$0.59,"[140.54, 143.75, 150.99, 184.99]",,Yes,Q3 2014
N/A,128GB,,Plextor,"Plextor M6S 128GB 2.5"" Solid State Drive",,$0.62,[78.89],,Yes,Q2 2005
N/A,200GB,,Seagate,"Seagate 1200 SSD 200GB 2.5"" Solid State Drive",,$1.05,[209.99],,Yes,Q2 2005
512MB,512GB,,Samsung,Samsung 950 PRO 512GB M.2-2280 Solid State Drive,,$0.72,[358.99],,Yes,Q2 2008
64MB,3TB,,Western Digital,"Western Digital Blue 3TB 3.5"" 5400RPM Internal Hard Drive",,$0.030,"[88.89, 88.99, 89.99, 97.71, 109.75, 109.99]",5400,No,Q4 2001
32MB,500GB,,Seagate,"Seagate Momentus XT 500GB 2.5"" 7200RPM Internal Hard Drive",,$0.12,[59.95],7200,No,Q1 2005
128MB,8TB,,Seagate,"Seagate Archive 8TB 3.5"" 5900RPM Internal Hard Drive",,$0.028,"[226.99, 229.0, 239.99, 243.99, 271.99]",5900,No,Q1 2014
N/A,120GB,,Samsung,Samsung 850 EVO 120GB M.2-2280 Solid State Drive,,$0.70,"[83.88, 85.99, 78.75]",,Yes,Q3 2005
N/A,128GB,,Sandisk,"Sandisk Z400s 128GB 2.5"" Solid State Drive",,$0.41,"[49.99, 56.13]",,Yes,Q2 2015
N/A,240GB,,Intel,"Intel 540s 240GB 2.5"" Solid State Drive",,$0.69,[166.51],,Yes,Q1 2013
64MB,2TB,,Western Digital,"Western Digital Red 2TB 3.5"" 5400RPM Internal Hard Drive",,$0.043,"[85.99, 86.99, 86.99, 86.99, 88.99, 89.88, 92.99, 89.99, 86.99, 89.99, 104.99]",5400,No,Q2 2005
N/A,960GB,,Sandisk,"Sandisk Ultra II 960GB 2.5"" Solid State Drive",,$0.26,"[244.94, 244.99, 244.99, 244.99, 252.99, 259.88, 259.99, 274.99]",,Yes,Q4 2007
64MB,4TB,,Western Digital,"Western Digital Blue 4TB 3.5"" 5400RPM Internal Hard Drive",,$0.032,"[126.89, 127.99, 133.5, 127.99, 149.99, 156.18, 179.99]",5400,No,Q2 2001
64MB,4TB,7.8GB,Seagate,"Seagate 4TB 3.5"" 5900RPM Hybrid Internal Hard Drive",,$0.038,"[152.99, 164.75, 175.66]",5900,No,Q1 2005
N/A,1TB,,Samsung,Samsung 850 EVO 1TB M.2-2280 Solid State Drive,,$0.32,"[316.0, 316.0, 326.88, 339.99, 347.99, 349.99, 349.99]",,Yes,Q2 2010
64MB,2TB,,Western Digital,"Western Digital Caviar Black 2TB 3.5"" 7200RPM Internal Hard Drive",,$0.070,"[139.88, 162.99]",7200,No,Q3 2011
N/A,240GB,,Sandisk,"Sandisk SSD PLUS 240GB 2.5"" Solid State Drive",,$0.29,"[69.5, 69.99, 69.99, 69.5, 77.89, 79.99]",,Yes,Q2 2009
64MB,3TB,,Hitachi,"Hitachi Ultrastar 7K3000 3TB 3.5"" 7200RPM Internal Hard Drive",,$0.033,[89.95],7200,No,Q1 2010
N/A,240GB,,Kingston,"Kingston SSDNow V300 Series 240GB 2.5"" Solid State Drive",,$0.33,"[78.59, 81.99, 81.99, 87.99, 88.99, 89.99, 89.99, 81.99, 95.99]",,Yes,Q3 2013
N/A,240GB,,Kingston,Kingston Predator 240GB M.2-2280 Solid State Drive,,$0.65,"[154.99, 154.99, 154.99]",,Yes,Q3 2003
N/A,240GB,,Crucial,"Crucial BX200 240GB 2.5"" Solid State Drive",,$0.46,[109.89],,Yes,Q1 2010
N/A,480GB,,Intel,"Intel 730 Series 480GB 2.5"" Solid State Drive",,$0.53,"[246.88, 399.98, 498.89]",,Yes,Q4 2004
8MB,250GB,,Seagate,"Seagate Barracuda 250GB 3.5"" 7200RPM Internal Hard Drive",,$0.100,"[24.99, 22.06]",7200,No,Q4 2015
64MB,6TB,,Western Digital,"Western Digital Red 6TB 3.5"" 5400RPM Internal Hard Drive",,$0.039,"[233.99, 233.99, 234.99, 239.89, 249.75, 249.0, 249.99, 264.99, 299.99]",5400,No,Q1 2014
N/A,128GB,,ADATA,"ADATA Premier Pro SP600 128GB 2.5"" Solid State Drive",,$0.45,"[56.99, 58.81, 60.17, 60.88]",,Yes,Q2 2002
N/A,120GB,,Sandisk,"Sandisk SSD PLUS 120GB 2.5"" Solid State Drive",,$0.45,"[53.99, 57.08, 69.33]",,Yes,Q2 2015
N/A,480GB,,Kingston,"Kingston SSDNow UV400 480GB 2.5"" Solid State Drive",,$0.28,"[132.38, 141.98, 144.99, 144.99, 144.99, 148.99, 149.0, 149.97]",,Yes,Q4 2003
N/A,256GB,,Intel,Intel 600p Series 256GB M.2-2280 Solid State Drive,,$0.34,"[87.29, 99.99, 102.3, 113.98]",,Yes,Q2 2007
N/A,240GB,,Kingston,"Kingston HyperX Fury 240GB 2.5"" Solid State Drive",,$0.37,"[88.99, 89.99, 90.99, 95.99, 96.99, 88.99]",,Yes,Q2 2009
N/A,60GB,,Silicon Power,"Silicon Power S60 60GB 2.5"" Solid State Drive",,$0.53,[31.99],,Yes,Q3 2011
64MB,2TB,,Toshiba,"Toshiba 2TB 3.5"" 7200RPM Internal Hard Drive",,$0.034,"[67.88, 67.99, 67.99, 69.99, 72.88, 73.99, 76.99]",7200,No,Q1 2010
N/A,120GB,,Silicon Power,"Silicon Power Silm S55 120GB 2.5"" Solid State Drive",,$0.44,[52.62],,Yes,Q4 2009
N/A,128GB,,Samsung,"Samsung 850 Pro Series 128GB 2.5"" Solid State Drive",,$1.09,[139.88],,Yes,Q2 2005
N/A,240GB,,Silicon Power,"Silicon Power Slim S55 240GB 2.5"" Solid State Drive",,$0.50,[120.99],,Yes,Q1 2000
N/A,256GB,,Crucial,"Crucial MX100 256GB 2.5"" Solid State Drive",,$0.44,[113.64],,Yes,Q3 2015
32MB,1TB,,Toshiba,"Toshiba 1TB 3.5"" 7200RPM Internal Hard Drive",,$0.048,"[47.89, 47.99, 47.99, 48.48, 49.59, 51.75, 53.38, 47.99]",7200,No,Q2 2007
N/A,256GB,,OCZ,OCZ RD400 256GB M.2-2280 Solid State Drive,,$0.66,"[169.99, 192.89]",,Yes,Q1 2013
N/A,960GB,,PNY,"PNY CS1311 960GB 2.5"" Solid State Drive",,$0.25,"[236.25, 249.99, 257.99, 268.99]",,Yes,Q1 2013
128MB,5TB,,Toshiba,"Toshiba X300 5TB 3.5"" 7200RPM Internal Hard Drive",,$0.030,"[148.65, 149.75, 152.3, 152.69, 159.99]",7200,No,Q1 2008
N/A,240GB,,Kingston,Kingston Predator 240GB PCI-E Solid State Drive,,$0.69,"[164.99, 164.99, 164.99]",,Yes,Q1 2004
N/A,128GB,,Intel,Intel 600p Series 128GB M.2-2280 Solid State Drive,,$0.47,"[59.99, 64.79, 64.99, 77.98, 80.99]",,Yes,Q1 2001
64MB,1TB,,Toshiba,"Toshiba P300 1TB 3.5"" 7200RPM Internal Hard Drive",,$0.050,"[49.99, 52.96]",7200,No,Q1 2012
N/A,480GB,,PNY,"PNY CS1311 480GB 2.5"" Solid State Drive",,$0.27,"[130.0, 130.07, 134.99, 130.07, 138.89, 143.99, 149.99]",,Yes,Q3 2003
32MB,1TB,,Hitachi,"Hitachi Deskstar 1TB 3.5"" 7200RPM Internal Hard Drive",,$0.070,[69.98],7200,No,Q4 2006
64MB,1TB,,Western Digital,"Western Digital Caviar Black 1TB 3.5"" 7200RPM Internal Hard Drive",,$0.087,[86.88],7200,No,Q2 2011
16MB,500GB,,Western Digital,"Western Digital AV-GP 500GB 3.5"" 5400RPM Internal Hard Drive",,$0.12,[60.0],5400,No,Q3 2006
64MB,4TB,,Western Digital,"Western Digital WD Black 4TB 3.5"" 7200RPM Internal Hard Drive",,$0.099,"[395.74, 415.99]",7200,No,Q2 2002
N/A,480GB,,Kingston,"Kingston Savage 480GB 2.5"" Solid State Drive",,$0.32,"[155.0, 155.0, 169.99, 172.99, 172.99, 172.99]",,Yes,Q2 2009
128MB,6TB,,Toshiba,"Toshiba X300 6TB 3.5"" 7200RPM Internal Hard Drive",,$0.030,"[169.99, 189.0, 197.5, 199.99]",7200,No,Q3 2013
N/A,64GB,,ADATA,"ADATA Premier Pro SP600 64GB 2.5"" Solid State Drive",,$0.72,"[37.99, 46.98]",,Yes,Q2 2008
128MB,4TB,,Toshiba,"Toshiba X300 4TB 3.5"" 7200RPM Internal Hard Drive",,$0.032,"[129.75, 134.99, 134.99, 133.33, 218.25]",7200,No,Q1 2003
N/A,60GB,,Corsair,"Corsair Force LS 60GB 2.5"" Solid State Drive",,$0.67,"[39.99, 42.99, 42.99, 43.98, 42.99]",,Yes,Q3 2000
32MB,1TB,,Western Digital,"Western Digital Caviar Green 1TB 3.5"" 5400RPM Internal Hard Drive",,$0.064,"[63.78, 59.99]",5400,No,Q4 2001
N/A,480GB,,PNY,"PNY CS2111 480GB 2.5"" Solid State Drive",,$0.32,[144.99],,Yes,Q1 2006
N/A,128GB,,Sandisk,Sandisk X400 128GB M.2-2280 Solid State Drive,,$0.60,[76.75],,Yes,Q1 2004
8MB,1TB,,Western Digital,"Western Digital WD Blue 1TB 2.5"" 5400RPM Internal Hard Drive",,$0.059,"[58.95, 59.99, 59.99, 61.99, 62.99, 67.88, 69.99, 74.99]",5400,No,Q1 2000
128MB,1TB,,Seagate,"Seagate Constellation ES.3 1TB 3.5"" 7200RPM Internal Hard Drive",,$0.11,"[104.83, 114.99]",7200,No,Q1 2003
N/A,960GB,,Kingston,Kingston Predator 960GB M.2-2280 Solid State Drive,,$0.51,"[489.0, 489.0, 489.0]",,Yes,Q4 2003
N/A,480GB,,Sandisk,"Sandisk SSD PLUS 480GB 2.5"" Solid State Drive",,$0.28,"[126.99, 154.89, 154.99]",,Yes,Q2 2006
N/A,1TB,,Intel,Intel 540s 1TB M.2-2280 Solid State Drive,,$0.32,"[324.99, 355.24, 355.99, 359.99, 355.24, 369.98]",,Yes,Q1 2005
N/A,512GB,,Sandisk,"Sandisk X400 512GB 2.5"" Solid State Drive",,$0.27,"[139.99, 146.95, 139.99, 149.0, 153.5]",,Yes,Q3 2015
N/A,256GB,,Samsung,"Samsung 840 Pro Series 256GB 2.5"" Solid State Drive",,$0.98,[249.88],,Yes,Q2 2005
N/A,250GB,,Crucial,"Crucial MX200 250GB 2.5"" Solid State Drive",,$0.34,"[84.0, 84.0, 104.07]",,Yes,Q4 2000
16MB,500GB,,Seagate,"Seagate Barracuda 500GB 3.5"" 7200RPM Internal Hard Drive",,$0.094,"[46.99, 47.99, 44.99, 59.99]",7200,No,Q4 2007
N/A,60GB,,Kingston,"Kingston SSDNow V300 Series 60GB 2.5"" Solid State Drive",,$0.88,"[52.94, 51.99, 51.99, 62.0, 69.99]",,Yes,Q2 2000
N/A,40GB,,ADATA,"ADATA S599 40GB 2.5"" Solid State Drive",,$3.45,[129.99],,Yes,Q4 2003
32MB,2TB,,Hitachi,"Hitachi Ultrastar 2TB 3.5"" 7200RPM Internal Hard Drive",,$0.029,[57.98],7200,No,Q4 2010
128MB,8TB,,Western Digital,"Western Digital Red 8TB 3.5"" 5400RPM Internal Hard Drive",,$0.038,"[302.94, 305.99, 309.0, 309.99, 302.94, 328.75, 344.99]",5400,No,Q1 2010
64MB,4TB,,Hitachi,"Hitachi Deskstar NAS 4TB 3.5"" 7200RPM Internal Hard Drive",,$0.036,"[144.99, 145.99, 150.38, 159.89, 159.99, 161.99, 167.99, 229.99]",7200,No,Q1 2007
N/A,120GB,,Kingston,"Kingston HyperX 3K 120GB 2.5"" Solid State Drive",,$0.83,[99.48],,Yes,Q3 2005
N/A,120GB,,Corsair,"Corsair Force LS 120GB 2.5"" Solid State Drive",,$0.54,"[64.99, 68.98, 63.28]",,Yes,Q2 2003
N/A,240GB,,OCZ,"OCZ ARC 100 240GB 2.5"" Solid State Drive",,$0.42,[99.89],,Yes,Q4 2001
N/A,240GB,,Sandisk,"Sandisk SSD PLUS 240GB 2.5"" Solid State Drive",,$0.29,"[69.99, 77.89, 87.99]",,Yes,Q3 2000
N/A,120GB,,Patriot,"Patriot Torch LE 120GB 2.5"" Solid State Drive",,$0.48,[49.99],,Yes,Q1 2006
64MB,1TB,7.8GB,Seagate,"Seagate 1TB 2.5"" 5400RPM Hybrid Internal Hard Drive",,$0.081,"[80.89, 81.89, 81.99, 82.99, 80.89, 89.89, 91.96, 94.99, 97.99, 94.99]",5400,No,Q1 2014
32MB,1TB,,Hitachi,"Hitachi Ultrastar 1TB 3.5"" 7200RPM Internal Hard Drive",,$0.050,"[40.99, 69.98]",7200,No,Q2 2015
N/A,500GB,,SK hynix,"SK hynix SL308 500GB 2.5"" Solid State Drive",,$0.26,[127.99],,Yes,Q2 2010
N/A,120GB,,PNY,"PNY CS1311 120GB 2.5"" Solid State Drive",,$0.42,"[49.99, 49.99, 49.99, 53.89, 49.99]",,Yes,Q3 2000
64MB,500GB,7.8GB,Seagate,"Seagate 500GB 2.5"" 5400RPM Hybrid Internal Hard Drive",,$0.12,"[59.98, 59.99, 62.99, 62.99, 67.99, 59.99, 73.99]",5400,No,Q4 2000
N/A,512GB,,Mushkin,"Mushkin ECO2 512GB 2.5"" Solid State Drive",,$0.27,"[139.89, 149.99]",,Yes,Q2 2006
64MB,1TB,,Seagate,"Seagate Constellation.2 1TB 2.5"" 7200RPM Internal Hard Drive",,$0.17,"[174.19, 182.98, 191.99, 239.99]",7200,No,Q2 2012
N/A,128GB,,OCZ,OCZ RD400 128GB M.2-2280 Solid State Drive,,$1.07,[136.69],,Yes,Q2 2014
32MB,2TB,,Seagate,"Seagate Momentus SpinPoint 2TB 2.5"" 5400RPM Internal Hard Drive",,$0.048,"[95.0, 106.99]",5400,No,Q1 2000
N/A,500GB,,Samsung,"Samsung 840 EVO 500GB 2.5"" Solid State Drive",,$0.64,"[319.88, 319.99]",,Yes,Q1 2003
N/A,1TB,,Sandisk,Sandisk X400 1TB M.2-2280 Solid State Drive,,$0.27,"[265.79, 273.73, 299.95]",,Yes,Q3 2006
N/A,120GB,,Intel,"Intel 540s 120GB 2.5"" Solid State Drive",,$0.52,"[62.99, 66.24, 72.99, 75.99, 79.88]",,Yes,Q3 2005
64MB,2TB,,Seagate,"Seagate Barracuda 2TB 3.5"" 7200RPM Internal Hard Drive",,$0.040,"[79.88, 79.99, 79.99, 79.99, 79.99, 84.99, 79.99]",7200,No,Q4 2004
64MB,1TB,8GB,Seagate,"Seagate FireCuda 1TB 3.5"" 7200RPM Hybrid Internal Hard Drive",,$0.079,"[78.89, 78.99, 83.95, 79.99, 78.99, 87.99, 87.99]",7200,No,Q1 2014
128MB,6TB,,Seagate,"Seagate 6TB 3.5"" 7200RPM Internal Hard Drive",,$0.035,"[209.99, 213.99, 214.99, 224.99]",7200,No,Q4 2007
64MB,2TB,,Toshiba,"Toshiba P300 2TB 3.5"" 7200RPM Internal Hard Drive",,$0.037,"[74.8, 74.99, 74.99, 76.99, 74.99]",7200,No,Q1 2003
32MB,1TB,,Western Digital,"Western Digital Caviar Blue 1TB 3.5"" 7200RPM Internal Hard Drive",,$0.060,[59.88],7200,No,Q2 2006
64MB,3TB,,Western Digital,"Western Digital Caviar Green 3TB 3.5"" 5400RPM Internal Hard Drive",,$0.032,[96.49],5400,No,Q4 2007
32MB,1TB,,Toshiba,"Toshiba Product Series:DT01ACA 1TB 3.5"" 7200RPM Internal Hard Drive",,$0.047,"[46.89, 48.48, 50.0]",7200,No,Q3 2015
N/A,960GB,,Corsair,"Corsair Force LE 960GB 2.5"" Solid State Drive",,$0.28,"[269.99, 274.97, 269.99, 314.99, 342.1]",,Yes,Q2 2014
64MB,6TB,,Western Digital,"Western Digital Blue 6TB 3.5"" 5400RPM Internal Hard Drive",,$0.035,"[209.99, 212.99, 216.89, 219.99, 219.99]",5400,No,Q4 2015
N/A,480GB,,Sandisk,"Sandisk SSD PLUS 480GB 2.5"" Solid State Drive",,$0.25,"[119.99, 119.99, 119.99, 119.99, 134.89, 134.99]",,Yes,Q1 2004
32MB,3TB,,Hitachi,"Hitachi Deskstar 5K3000 3TB 3.5"" 5400RPM Internal Hard Drive",,$0.060,[180.55],5400,No,Q3 2012
64MB,1TB,,Seagate,"Seagate Barracuda 1TB 3.5"" 7200RPM Internal Hard Drive",,$0.049,"[48.6, 48.98, 48.99, 49.99, 51.75, 51.99, 49.99, 49.99]",7200,No,Q4 2004
16MB,750GB,,Western Digital,"Western Digital BLACK SERIES 750GB 2.5"" 7200RPM Internal Hard Drive",,$0.077,"[57.99, 59.99, 64.88, 64.99, 66.44, 58.76, 65.75, 64.99, 72.99, 72.99]",7200,No,Q1 2003
N/A,600GB,,Intel,"Intel 320 Series 600GB 2.5"" Solid State Drive",,$0.88,"[529.89, 529.89]",,Yes,Q4 2008
16MB,1TB,,Seagate,"Seagate Constellation ES 1TB 3.5"" 7200RPM Internal Hard Drive",,$0.066,[60.0],7200,No,Q4 2009
64MB,500GB,,Seagate,"Seagate Constellation ES 500GB 3.5"" 7200RPM Internal Hard Drive",,$0.25,"[115.0, 149.49]",7200,No,Q4 2000
128MB,4TB,,Seagate,"Seagate Constellation ES.3 4TB 3.5"" 7200RPM Internal Hard Drive",,$0.061,"[243.65, 317.99]",7200,No,Q1 2002
N/A,240GB,,Kingston,"Kingston Savage 240GB 2.5"" Solid State Drive",,$0.41,"[97.99, 102.99, 109.99, 114.99]",,Yes,Q2 2012
64MB,1TB,,Seagate,"Seagate Constellation.2 1TB 2.5"" 7200RPM Internal Hard Drive",,$0.22,[222.47],7200,No,Q2 2002
N/A,1TB,,Mushkin,"Mushkin Reactor 1TB 2.5"" Solid State Drive",,$0.26,"[259.89, 259.99, 264.98]",,Yes,Q4 2011
N/A,240GB,,VisionTek,VisionTek mSATA 240GB mSATA Solid State Drive,,$0.66,"[158.41, 158.99, 158.41, 166.98, 169.99]",,Yes,Q1 2005
64MB,600GB,,Toshiba,"Toshiba 600GB 2.5"" 10500RPM Internal Hard Drive",,$0.19,"[114.0, 213.82]",10500,No,Q3 2010
64MB,500GB,,Seagate,"Seagate Constellation.2 500GB 2.5"" 7200RPM Internal Hard Drive",,$0.33,"[162.99, 172.99, 181.23]",7200,No,Q2 2013
N/A,2TB,,IBM,"IBM 2TB 3.5"" 7200RPM Internal Hard Drive",,$0.19,[389.67],7200,No,Q1 2014
64MB,4TB,,Seagate,"Seagate Desktop HDD 4TB 3.5"" 5900RPM Internal Hard Drive",,$0.029,"[117.88, 119.0, 119.0, 119.99, 124.99, 124.99, 119.99, 129.0, 129.99]",5900,No,Q4 2007
N/A,120GB,,Mushkin,"Mushkin Callisto Deluxe 120GB 2.5"" Solid State Drive",,$1.38,[165.45],,Yes,Q1 2006
N/A,120GB,,Intel,"Intel 510 Series 120GB 2.5"" Solid State Drive",,$1.13,[128.41],,Yes,Q3 2010
64MB,600GB,,Hitachi,"Hitachi Ultrastar C10K900 600GB 2.5"" 10000RPM Internal Hard Drive",,$0.44,[265.99],10000,No,Q2 2004
8MB,250GB,,Seagate,"Seagate Pipeline HD 250GB 3.5"" 5900RPM Internal Hard Drive",,$0.14,[34.95],5900,No,Q2 2002
N/A,256GB,,Kingston,"Kingston SSDNow V+100 256GB 2.5"" Solid State Drive",,$2.05,[523.99],,Yes,Q4 2012
N/A,60GB,,VisionTek,VisionTek 60GB mSATA Solid State Drive,,$0.81,"[48.88, 54.98, 55.99, 51.78]",,Yes,Q1 2003
64MB,2TB,,Seagate,"Seagate Barracuda 2TB 3.5"" 7200RPM Internal Hard Drive",,$0.035,"[69.8, 69.99, 69.99, 69.99, 69.99, 76.99, 77.99, 69.99, 80.99, 76.99, 87.99]",7200,No,Q2 2000
16MB,320GB,,Hitachi,"Hitachi Travelstar 7K500 320GB 2.5"" 7200RPM Internal Hard Drive",,$0.16,"[46.0, 77.96, 127.96]",7200,No,Q1 2002
